id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
154992,19747,Teenage Mutant Ninja Turtles,"The main gameplay loosely adapts the following season one episodes: ""Things Change"", ""A Better Mouse Trap"", ""Attack of the Mouser""s, ""Meet Casey Jones"", ""Nano"", ""Darkness on the Edge of Town"", ""The Way of Invisibility"", ""Notes From the Underground"" (Parts 1-3), and ""Return to New York"" (Parts 1-3), as well as a level that is not derived from the animated series at all.

Shortly after a group of mouser robots destroy the turtles' old home, they begin to look for a new home. Michelangelo eventually gets on Raphael's nerves, making Raphael leave to the surface. At the surface, he is confronted by Purple Dragon thugs, Casey Jones, and Dragonface. Baxter Stockman soon uses invisible foot tech ninjas to capture Raphael, and Donatello is forced to rescue him. Afterward, while Raphael and Michelangelo spar for fun, Donatello analyzes a strange crystal he found in their home, noting that they look like mutated brain cells. Raphael kicks Michelangelo into a wall, revealing a large tunnel behind it. Donatello's crystal start glowing and the turtles decide to investigate. They follow the tunnel and they are confronted by genetically mutated humans. After a few scuffles with these mutants, the turtles find that these mutants were turned into their current state by past experiments of Shredder's scientists. The crystals Donatello found are the only thing keeping these mutants alive, and cannot leave their underground home as a result. They plead the turtles to defeat Shredder, so that no more humans will suffer as they have. The turtles decide to defeat Shredder once and for all, and promise the mutants that they will come back for them if they ever find a way to reverse their condition.",2003-10-21 00:00:00.000,8,NULL,60.0000,2,61.1817,26
143785,146004,Teenage Mutant Ninja Turtles,"Shortly after a group of Mouser Robots destroy the Turtles' old home, they begin to attack their new home. Eventually the Turtles trace the robots back to Baxter Stockman's factory, where they save young April O'Neil. Afterwards Michelangelo gets on Raphael's nerves, making Raphael leave to the surface. At the surface, he is confronted by Purple Dragons' thugs, and meets Casey Jones, who equally hates that gang. Afterwards Stockman develops for the Foot Clan invisible Foot Tech Ninjas to capture Raphael, forcing the Turtles to rescue them and Donatello to use a cloaking device detector to properly fight the invisible ninjas. Afterward, they are confronted by genetically mutated beings.

Once all four levels are completed, the Turtles strike on the Foot Headquarters, where they fight Hun before going after the Foot leader, The Shredder.",2003-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116452,23698,Tennis Masters Series 2003,NULL,2003-09-07 00:00:00.000,NULL,NULL,70.0000,2,NULL,NULL
108324,205641,Tennis no Ouji-sama: Sweat & Tears 2,Players witness high school life and experience romantic (and otherwise) adventures in tennis class.,2003-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
68486,4198,Tensai Bit-Kun: Gramon Battle,NULL,2003-09-18 00:00:00.000,NULL,NULL,NULL,NULL,23.0000,0
67515,148442,Tenshi no Inai 12-gatsu,NULL,2003-09-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65220,204902,Terminator 3: Rise of the Machines,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65240,6196,Terminator 3: Rise of the Machines,"Terminator killed John Connor in 2032, before being reprogrammed and sent back in time by Connor's wife. After rescuing them from an initial attack at the animal hospital, the Terminator leads them to the grave of Sarah Connor (who died of leukemia seven years previous) in Victorville.",2003-08-13 00:00:00.000,NULL,NULL,43.7500,4,NULL,NULL
171789,47069,Terminator 3: War of the Machines,"The inevitable battle between man and machine has begun. War ravages the land as hardened Tech-Com fighters defend John Connor and others against the mechanized onslaught of the CRS force.

This epic cinematic conflict, recreated from the phenomenal Terminator films, places first-person shooter fans at the very center of the uprising. Throughout high-powered multiplayer and single-player missions, combatants fight in apocalyptic landscapes--a decimated downtown Los Angeles, a battered ocean harbor, devastated highways--struggling for survival. Only the strongest will avert catastrophe and save human existence.",2003-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56328,137623,Tetris Kiwamemichi,NULL,2003-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
